sig_id	pert_id	pert_mfc_id	cmap_name	pert_type	cell_iname	pert_idose	pert_itime	is_hiq	cc_q75
CPC003_PC3_24H:BRD-A60414806-065-01-6:10	BRD-A60414806	BRD-A60414806	vincristine	trt_cp	PC3	10 uM	24 h	1	0.53
CPC004_A375_6H:BRD-A52530684-001-01-1:10	BRD-A52530684	BRD-A52530684	doxorubicin	trt_cp	A375	10 uM	6 h	1	0.6
CPC005_A375_24H:BRD-K81418486:10	BRD-K81418486	BRD-K81418486	vorinostat	trt_cp	A375	10 uM	24 h	1	0.89
CPC005_A375_6H:BRD-A18419789-001-01-4:10	BRD-A18419789	BRD-A18419789	etoposide	trt_cp	A375	10 uM	6 h	1	0.79
CPC005_A375_6H:BRD-A76941896-003-02-0:10	BRD-A76941896	BRD-A76941896	doxorubicin	trt_cp	A375	10 uM	6 h	1	0.73
CPC005_A549_24H:BRD-A18419789-001-01-4:10	BRD-A18419789	BRD-A18419789	etoposide	trt_cp	A549	10 uM	24 h	1	0.74
CPC005_A549_24H:BRD-K81418486:10	BRD-K81418486	BRD-K81418486	vorinostat	trt_cp	A549	10 uM	24 h	1	0.8
CPC005_A549_6H:BRD-A18419789-001-01-4:10	BRD-A18419789	BRD-A18419789	etoposide	trt_cp	A549	10 uM	6 h	1	0.54
CPC005_A549_6H:BRD-A76941896-003-02-0:10	BRD-A76941896	BRD-A76941896	doxorubicin	trt_cp	A549	10 uM	6 h	1	0.66
CPC005_PC3_24H:BRD-A18419789-001-01-4:10	BRD-A18419789	BRD-A18419789	etoposide	trt_cp	PC3	10 uM	24 h	1	0.58
CPC005_PC3_24H:BRD-A76941896-003-02-0:10	BRD-A76941896	BRD-A76941896	doxorubicin	trt_cp	PC3	10 uM	24 h	1	0.76
CPC006_A375_24H:BRD-A17883755-001-02-0:177.6	BRD-A17883755	BRD-A17883755	lenalidomide	trt_cp	A375	200 uM	24 h	1	0.39
CPC006_A375_24H:BRD-A93255169-001-13-5:10	BRD-A93255169	BRD-A93255169	thalidomide	trt_cp	A375	10 uM	24 h	1	0.27
CPC006_A375_24H:BRD-K81418486:10	BRD-K81418486	BRD-K81418486	vorinostat	trt_cp	A375	10 uM	24 h	1	0.86
CPC006_A375_24H:BRD-K88510285-001-01-2:0.04	BRD-K88510285	BRD-K88510285	bortezomib	trt_cp	A375	0.04 uM	24 h	1	0.78
CPC006_A375_6H:I04	BRD-K82746043	BRD-K82746043-001-03-7	navitoclax	trt_cp	A375	10 uM	6 h	1	0.1771
CPC006_A549_24H:BRD-A17883755-001-02-0:177.6	BRD-A17883755	BRD-A17883755	lenalidomide	trt_cp	A549	200 uM	24 h	1	0.37
CPC006_A549_24H:BRD-A93255169-001-13-5:10	BRD-A93255169	BRD-A93255169	thalidomide	trt_cp	A549	10 uM	24 h	1	0.48
CPC006_A549_6H:BRD-A17883755-001-02-0:177.6	BRD-A17883755	BRD-A17883755	lenalidomide	trt_cp	A549	200 uM	6 h	1	0.27
CPC006_A549_6H:BRD-A93255169-001-13-5:10	BRD-A93255169	BRD-A93255169	thalidomide	trt_cp	A549	10 uM	6 h	1	0.4
CPC006_PC3_24H:E14	BRD-A93255169	BRD-A93255169-001-13-5	thalidomide	trt_cp	PC3	10 uM	24 h	1	0.2918
CPC011_A375_6H:BRD-K37798499-001-13-2:10	BRD-K37798499	BRD-K37798499	etoposide	trt_cp	A375	10 uM	6 h	1	0.68
CPC011_A375_6H:BRD-K82109576-065-20-2:10	BRD-K82109576	BRD-K82109576	vincristine	trt_cp	A375	10 uM	6 h	1	0.49
